timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name,distance,is_outlier
2025-11-27T17:22:32.771,29,426,828,331.55555555555554,845.2307692307693,379,834,418,868,-94,17,-47,6,-8,40,64.97,117,409.7492444842936,856.4543182330517,399.79995189232267,827.0680800692992,402.6234169215554,857.5955413561111,subject_006,96.00339834976565,False
2025-11-27T17:23:43.235,11,163,132,93.13675213675214,233.66666666666663,139,202,151,178,-69,101,-24,70,-12,46,44.25,117,163.36353020079724,184.4594149225319,165.4510911644739,178.17810798103525,161.30215755077597,186.8099803124892,subject_006,123.35714212445389,False
2025-11-27T17:44:19.670,6,426,828,432.06666666666666,840.3866666666667,395,837,378,859,6,12,-31,9,-48,31,108.63,75,374.3123944116522,869.9780265260241,358.88747401507123,859.8833319569891,361.1166322984628,835.2680829282825,subject_006,13.792532601214154,False
2025-11-27T17:45:10.924,22,952,364,934.9137931034484,401.4655172413793,931,355,919,349,-17,37,-21,-9,-33,-15,41.67,116,923.5931727953574,330.7406707818006,927.4849420447624,295.3933604169467,926.1335345737716,356.1234930674137,subject_006,41.177705718942846,False
2025-11-27T17:46:08.530,11,689,132,684.6637931034483,225.31034482758625,671,159,676,134,-4,93,-18,27,-13,2,49.78,116,672.0245395325754,130.1549406787275,668.1759742299975,146.40047898264552,667.0332076371753,164.20251307752534,subject_006,93.41104400493955,False
2025-11-27T17:46:34.155,10,1741,132,1639.6608695652174,267.90434782608696,1656,233,1677,207,-101,135,-85,101,-64,75,73.99,115,1692.510037751814,182.8540723482527,1700.146776083427,176.20271633287766,1696.049562791428,209.8620304418385,subject_006,169.52761166049592,False
2025-11-27T18:06:19.548,14,517,131,483.2773109243698,148.92436974789916,479,156,491,110,-33,17,-38,25,-26,-21,21.88,119,466.8685256078913,143.6428089844103,484.7814736347946,145.62773807206204,475.6924104339676,150.33065397121075,subject_006,38.19034942693027,False
2025-11-27T18:06:32.364,3,1215,596,1183.8333333333333,525.8421052631579,1194,590,1206,569,-31,-70,-21,-6,-9,-27,25.73,114,1204.1230181620906,550.7043163044821,1201.929716008071,631.8025520469552,1205.1615654650425,548.6418302402387,subject_006,76.76907779188787,False
2025-11-27T18:08:40.488,11,689,132,653.344537815126,139.1596638655462,662,140,678,77,-35,7,-27,8,-11,-55,27.35,119,654.2567868112022,121.08690456639056,689.0,132.0,663.9602711610801,127.62253899115528,subject_006,36.36719359923975,False
2025-11-27T18:08:46.891,24,689,1060,661.925,1020.7916666666666,654,1090,647,1134,-27,-39,-35,30,-42,74,40.47,120,635.6063066733761,1178.6615436748634,689.0,1060.0,639.9800192151009,1167.08799167007,subject_006,47.64817969007613,False
2025-11-27T18:09:18.921,9,1741,1060,1718.991452991453,1004.4358974358976,1746,1034,1760,1051,-22,-55,5,-26,19,-9,26.33,117,1750.921869351076,1056.2043126032795,1741.0,1060.0,1758.5082234817414,1059.091637187323,subject_006,59.7640831535256,False
2025-11-27T22:36:54.030,0,689,596,664.6440677966102,601.4067796610169,658,595,680,613,-24,5,-31,-1,-9,17,34.7,118,667.9874216895681,609.417745329455,656.3397557704511,594.4888731574707,653.6281423281492,597.413005373023,subject_006,24.94884165244763,False
2025-11-27T22:37:06.843,5,426,828,451.1333333333333,800.6833333333333,453,818,458,822,25,-27,27,-10,32,-6,37.28,120,450.1573198534485,823.5246995078282,455.2007146541714,826.904876285514,454.31414884900835,826.9547610756265,subject_006,37.11986964177306,False
2025-11-27T22:37:13.250,23,1215,596,1163.6134453781513,549.90756302521,1199,598,1212,577,-51,-46,-16,2,-3,-19,33.85,119,1218.4519990271097,583.0672395146654,1204.3504960003463,604.126886892303,1203.8551751029088,602.2992416603855,subject_006,69.02963669453308,False
